step_concurrency,call_index,setup_ok,connect_latency_s,ice_connected_s,first_audio_s,ice_gathering_s,reply_delays_s,unanswered,spoken_over,dropped,error
1,0,True,0.16215480002574623,0.9240797000238672,1.3232724000699818,0.0723204999230802,2.383;2.337;2.339;2.302,0,0,False,
2,0,True,0.3910996000049636,2.3197873000754043,2.9911273000761867,0.09420689998660237,3.688;2.764;2.776;2.844,0,0,False,
2,1,True,0.3665268999757245,2.2994196000508964,2.9636887999949977,0.08262529992498457,3.545;2.601;2.528;2.622,0,0,False,
3,0,True,32.15335519996006,35.87823989999015,36.40559540002141,0.11274920008145273,3.033;2.682;4.704;2.698,0,0,False,
3,1,True,0.43398970004636794,2.118109800037928,2.7371501000598073,0.11160810000728816,2.566;2.721;3.361;2.649,0,1,False,
3,2,True,0.33155659993644804,2.0504671999951825,2.690833800006658,0.11084370000753552,2.817;2.959;3.501;2.785,0,1,False,
5,0,False,,,,0.10543180000968277,,0,0,False,TimeoutError: 
5,1,False,,,,0.11598569992929697,,0,0,False,TimeoutError: 
5,2,False,,,,0.11052240000572056,,0,0,False,TimeoutError: 
5,3,True,0.4106019999599084,2.1905522999586537,3.557335800025612,0.11146240006200969,,5,0,False,
5,4,True,0.41487330000381917,4.258167499909177,8.019130699918605,0.1075640000635758,,4,0,False,
